text,label
أهلاً بك، أخت نورة، أرامكس: شحنتك رقم 968656242858 في طريقها إليك. سائق التوصيل: محمد - 488-347-8236,ham
مرحباً، إشعار من البنك الأهلي: تحويل وارد من لطيفة بمبلغ 500 ريال,ham
🚀 عروض اليوم الوطني: ساعة أبل بسعر 799 ريال فقط! العرض ينتهي اليوم: https://stc-offer.info/category/explore/main,spam
🔥 شحنتك رقم 8960701282 معلقه لعدم دفع رسوم جمركية بقيمة 49.00 ريال. الدفع: https://moi-alert.info/list,spam
"❗ تم اكتشاف عملية تحويل مشبوهة من حسابك بمبلغ 10,000 ريال. تأكيد الهوية فوراً: https://moi-alert.net/list/list قبل منتصف الليل",spam
محمد، 🚀 🚨 أختكم نورة تبحث عن زواج شرعي. التواصل خاص للجادين فقط. فوراً,spam
تأكيد طلبك رقم 748415957. إجمالي المبلغ 199 ريال شامل الضريبة,ham
أبو أحمد، تذكير: سداد قرضك الشهري بقيمة 800 ريال مستحق يوم 2025-06-09,ham
❌ تنبيه عاجل من العربي الوطني: تم تعليق بطاقتك بسبب نشاط مشبوه. التحديث المطلوب خلال 24 ساعة: https://customs-pay.sa/app,spam
عرض حصري لسكان مكة: خصم 70% على الأجهزة الإلكترونية. التسجيل: https://stc-offer.net/posts/tag,spam
أخو سعود، أهلاً وسهلاً، نود دعوتك لحفل زفاف لطيفة يوم 2025-06-06 في الخبر,ham
"💯 ⏰ عميلنا العزيز: يوجد محاولة سحب بقيمة 10,000 ريال من حسابك. أوقف العملية الآن: https://sa-update.live/posts فوراً",spam
"❗ مساعدة عاجلة: ابنة أخي بحاجة عملية جراحية بتكلفة 120,000 ريال. التبرعات على الرقم 0566947879 فوراً",spam
السلام عليكم، أبو أحمد، تهنئة بمناسبة النجاح! نتمنى لك التوفيق في مراحلك القادمة,ham
💰 وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الرابط: https://sa-update.live/list,spam
‼️ بمناسبة شهر رمضان: عمرة مجانية لـ 177 شخص. سارع بالتسجيل: https://customs-pay.info/tags/explore قبل منتصف الليل,spam
أبو أحمد، تم تسليم شحنتك بنجاح. تقييم الخدمة: https://na.salla.sa/order/39469334,ham
"🚨 عميلنا العزيز: يوجد محاولة سحب بقيمة 100,000 ريال من حسابك. أوقف العملية الآن: https://ksa-verify.org/explore قبل 24 ساعه",spam
تحية طيبة، تم شحن طلبك رقم 9481350505. رقم الشحنة: SA206756138899,ham
"خالد، 💰 عميلنا العزيز: يوجد محاولة سحب بقيمة 1,000 ريآل من حشابك. أوقف العملية آلآن: https://alrajhi-support.org/category/categories/main",spam
"🔥 فرصة لسيدات جدة: عمل عن بعد براتب 5,000 ريال. تواصل عبر: 0596723881 قبل 24 ساعة",spam
"⏰ عميلنا العزيز: يوجد محاولة سحب بقيمة 100,000 ريال من حسابك. أوقف العملية الآن: https://sa-update.net/categories فوراً",spam
سعود، ❗ وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الزابط: https://moi-alert.com/category قبل 24 ساعة,spam
تذكير: لديك موعد مع د. خالد يوم 2025-06-17 الساعة 12 صباحاً,ham
أهلاً بك، لا تنسى دفع فاتورة STC قبل 2025-06-15 لتجنب الإيقاف,ham
مرحباً، أم فهد، تأكيد طلبك رقم 128769990. إجمالي المبلغ 299 ريال شامل الضريبة,ham
إشعار من البنك الأهلي: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/accusamus,spam
تنبيه من التأمينات الاجتماعية: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://customs-pay.xyz/search/main,spam
❌ ❗ فيروس خطير تم اكتشافه في جهازك! إزالته فوراً عبر: https://ksa-verify.live/main/explore خلال ساعة,spam
أهلاً بك، تأكيد طلبك رقم 478610516. إجمالي المبلغ 299 ريال شامل الضريبة,ham
تحية طيبة، أهلاً وسهلاً، نود دعوتك لحفل زفاف محمد يوم 2025-06-12 في الخبر,ham
أم فهد، شكراً لشرائك من نون! رقم طلبك: 57424628. سيتم التوصيل خلال 48 ساعة,ham
أهلاً وسهلاً، نود دعوتك لحفل زفاف محمد يوم 2025-06-13 في الخبر,ham
أرامكس: شحنتك متوقفة في جمارك جدة. دفع 15 ريال للتخليص: https://customs-pay.org/explore,spam
"⭐ 🚨 مطلوب 41 شخص للعمل في خدمة العملاء. راتب أساسي 7,500 + حوافز. التقديم: https://alrajhi-support.sa/main قبل منتصف الليل",spam
"⏰ عميلنا العزيز: يوجد محاولة سحب بقيمة 500,000 ريال من حسابك. أوقف العملية الآن: https://alrajhi-support.org/blog/explore/app قبل منتصف الليل",spam
طلبك من أمازون سيصلك اليوم بين الساعة 12-1 مساءً,ham
مشروع عمل حر في الرياض: دخل شهري يصل لـ 500 ريال. اشتراك عبر: t.me/nzyh10_761,spam
🚀 بمناسبة شهر رمضان: عمرة مجانية لـ 101 شخص. سارع بالتسجيل: https://alrajhi-support.net/tag/search,spam
السلام عليكم، الراجحي: عملية سحب نقدي من الصراف الآلي بمبلغ 300 ريال. الرصيد المتبقي 9535 ريال,ham
"❗ فرصة لسيدات الطائف: عمل عن بعد براتب 5,000 ريال. تواصل عبر: 0561536252 فوراً",spam
مرحباً، أهلاً وسهلاً، نود دعوتك لحفل زفاف نورة يوم 2025-06-07 في المدينة,ham
جمعية خيرية: كفالة يتيم بـ 500 ريال شهرياً. سجل الآن: https://ksa-verify.org/explore/tags/tags,spam
لطيفة، 🚀 ⏰ هيئة الزكاة: توجد مبالغ زكاة غير مسددة باسمك. السداد خلال 24 ساعة: https://stc-offer.info/main قبل منتصف الليل,spam
⏰ عرض حصري لسكان جدة: خصم 70% على الملابس. التسجيل: https://customs-pay.xyz/blog قبل منتصف الليل,spam
🚀 تنبيه من وزاره العمل: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://ksa-verify.com/blog,spam
💯 ⏰ شحنتك رقم 8985103668 معلقة لعدم دفع رسوم جمركية بقيمة 29.50 ريال. الدفع: https://sa-update.xyz/main/wp-content/main خلال ساعة,spam
أهلاً بك، موعد تسليم المشروع النهائي: 2025-06-04,ham
لطيفة، وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الرابط: https://moi-alert.info/list/blog,spam
"فهد، ‼️ مشروع عمل حر في الدمام: دخل شهري يصل لـ 500,000 ريأل. اشتراك عبر: t.me/al-hsynlr_1693 فوراً",spam
أم فهد، إشعار من البنك الأهلي: تحويل وارد من فهد بمبلغ 1000 ريال,ham
مرحباً، نتيجة اختبار March متاحة الآن على البوابة التعليمية,ham
السلام عليكم، أم فهد، وزارة العمل: تم استلام طلب إصدار رخصة عمل لـ محمد. سيتم الرد خلال 3 أيام عمل,ham
عرض حصري لسكان الدمام: خصم 70% على الملابس. التسجيل: https://alrajhi-support.net/category,spam
🔥 شحنتك رقم 49194497 معلقة لعدم دفع رسوم جمركية بقيمة 49.00 ريال. الدفع: https://stc-offer.xyz/wp-content/tag/posts,spam
الراجحي: عملية سحب نقدي من الصراف الآلي بمبلغ 1000 ريال. الرصيد المتبقي 8901 ريال,ham
المرور: تم سداد مخالفة المرور رقم 11695133 بنجاح,ham
عبدالله، 🚀 🚨 شحنتك رقم 9246878998 معلقة لعدم دفع رسوم جمركية بقيمة 49.00 ريال. الدفع: https://ksa-verify.sa/wp-content/app/app خلال ساعة,spam
مرحباً، تم شحن طلبك رقم 1127231890. رقم الشحنة: SA919913538041,ham
"لطيفة، 🔥 عميلنا العزيز: يوجد محاولة سحب بقيمة 10,000 ريال من حسابك. أوقف العملية الآن: https://customs-pay.live/explore/categories قبل 24 ساعة",spam
💯 🔥 STC: استرد 100 ريال من فاتورتك الأخيرة. الرابط: https://customs-pay.com/wp-content/list خلال ساعة,spam
تحية طيبة، أخت نورة، عبدالله، اتصلت عليك لكنك مشغول. اتصل بي عندما تتاح لك فرصة,ham
🎁 تنبيه من هيئة الزكاة: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://sa-update.com/wp-content/search/categories,spam
تنبيه من أبشر: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://sa-update.net/category/tags/tag,spam
مرحباً، أرامكس: شحنتك رقم 391589008531 في طريقها إليك. سائق التوصيل: عبدالله - 001-246-408-3255x86366,ham
طلبك من نمشي سيصلك اليوم بين الساعة 11-3 مساءً,ham
السلام عليكم، المرور: تم سداد مخالفة المرور رقم 60488590 بنجاح,ham
أهلاً بك، أخت نورة، تذكير بدفع قسط السيارة الشهري بقيمة 1200 ريال قبل نهاية الأسبوع,ham
❗ وزارة الداخلية: مطلوب تحديث بيانات الإقامه قبل 18-06-2025. آلرابط: https://customs-pay.xyz/tag/tag قبل منتصف الليل,spam
أخو سعود، وزارة العمل: تم استلام طلب إصدار رخصة عمل لـ خالد. سيتم الرد خلال 3 أيام عمل,ham
⚠️ فيروس خطير تم اكتشافه في جهازك! إزالته فوراً عبر: https://ksa-verify.org/search,spam
سعود، 🔥 STC: استرد 300 ريال من فاتورتك الأخيرة. الرابط: https://stc-offer.org/explore,spam
⏰ بمناسبة شهر رمضان: عمرة مجانية لـ 126 شخص. سارع بالتسجيل: https://alrajhi-support.info/list/app/categories خلال ساعة,spam
نورة، 🔥 عرض حصري لسكان المدينة: خصم 70% على الملابس. التسجيل: https://ksa-verify.org/blog قبل منتصف الليل,spam
مرحباً، أخت نورة، تذكير: سداد قرضك الشهري بقيمة 800 ريال مستحق يوم 2025-06-09,ham
تحية طيبة، أم فهد، تم شحن طلبك رقم 2840774607. رقم الشحنة: SA582201907075,ham
❗ شحنتك رقم 9948443879 معلقة لعدم دفع رسوم جمركية بقيمة 29.50 ريال. الدفع: https://ksa-verify.org/explore فوراً,spam
💰 🚨 تأكيد طلب: لديك 1 قطع لم يتم تسليمها. تحديث العنوان: https://alrajhi-support.sa/search/explore فوراً,spam
فيروس خطير تم اكتشافه في جهازك! إزالته فوراً عبر: https://stc-offer.xyz/posts/explore,spam
نورة، 🚨 أختكم فاطمة تبحث عن زواج شرعي. التواصل خاص للجادين فقط. خلال ساعة,spam
مرحباً، أخو سعود، تهنئة بمناسبة النجاح! نتمنى لك التوفيق في مراحلك القادمة,ham
🚀 🚨 تنبيه من أبشر: لديك غرامه مالية لم تسدد. تجنب المضاعفات: https://sa-update.sa/tag/app/tags قبل منتصف الليل,spam
❗ فيروس خطير تم اكتشافه في جهازك! إزالته فوراً عبر: https://sa-update.sa/explore اليوم فقط,spam
‼️ وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الرابط: https://customs-pay.xyz/app/wp-content قبل منتصف الليل,spam
"تم إيداع مبلغ 2,500 ريال في حسابك بتاريخ 2025-01-14",ham
أهلاً وسهلاً، نود دعوتك لحفل زفاف سعود يوم 2025-06-12 في الخبر,ham
محمد، وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الرابط: https://stc-offer.xyz/categories,spam
شكراً لشرائك من جرير! رقم طلبك: 27623372. سيتم التوصيل خلال 48 ساعة,ham
مبروك! لقد ربحت اشتراك شاهد VIP لمدة سنة. لتفعيل اشتراكك المجاني، يرجى إدخال بياناتك هنا: https://shahid-vip-free-promo.net,spam
🚨 تنبيه من التأمينات الاجتماعية: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://customs-pay.org/tags/main فوراً,spam
✅ مشروع عمل حر في مكة: دخل شهري يصل لـ 500 ريال. اشتراك عبر: t.me/al-wdyhy_3401,spam
❗ عرض حصري لسكان الدمام: خصم 70% على الأجهزة الإلكترونية. التسجيل: https://ksa-verify.info/blog/tag/wp-content اليوم فقط,spam
"‼️ فرصة لسيدات جدة: عمل عن بعد برآتب 6,500 ريال. تواصل عبر: 0534285332 قبل منتصف الليل",spam
🚀 🔥 عروض اليوم الوطني: QLED TV بسعر 499 ريال فقط! العرض ينتهي اليوم: https://ksa-verify.com/tags/list خلال ساعة,spam
‼️ بمناسبة شهر رمضان: عمرة مجانية لـ 66 شخص. سارع بالتسجيل: https://sa-update.xyz/categories/posts/posts قبل 24 ساعة,spam
"تم اكتشاف عملية تحويل مشبوهة من حسابك بمبلغ 25,000 ريال. تأكيد الهوية فوراً: https://sa-update.info/main/categories/categories",spam
أهلاً بك، طلبك من نمشي سيصلك اليوم بين الساعة 10-3 مساءً,ham
محمد، 💰 ❗ فيروس خطير تم اكتشافه في جهازك! إزالته فوزاً عبز: https://customs-pay.net/tags اليوم فقط,spam
عروض اليوم الوطني: جالكسي Z فولد بشعر 499 ريال فقط! العرض ينتهي اليوم: https://alrajhi-support.net/main,spam
لطيفة، ❗ شحنتك رقم 4102466715 معلقة لعدم دفع رسوم جمركية بقيمة 29.50 ريال. الدفع: https://customs-pay.org/blog/tags/list قبل منتصف الليل,spam
السلام عليكم، أم فهد، التأمينات الاجتماعية: تم استلام اشتراك شهر October بنجاح. شكراً لالتزامك,ham
أم فهد، لا تنسى دفع فاتورة STC قبل 2025-06-13 لتجنب الإيقاف,ham
"❗ مساعدة عاجلة: ابنة أخي بحاجة عملية جراحية بتكلفة 120,000 ريال. التبرعات على الرقم 0547578468 خلال ساعة",spam
أهلاً بك، محمد، اتصلت عليك لكنك مشغول. اتصل بي عندما تتاح لك فرصة,ham
فهد، ⭐ 🚨 إشعار من البلاد: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/consequatur خلال ساعة,spam
السلام عليكم، نتيجة اختبار September متاحة الآن على البوابة التعليمية,ham
"تم إيداع مبلغ 2,500 ريال في حسابك بتاريخ 2025-04-08",ham
سعود، 💯 ‼️ كفالة حاج: ساهم بـ 5000 ريال لإرسال حاج. التبرع: 0526183853 فوراً,spam
"فرصة لسيدات المدينة: عمل عن بعد براتب 7,200 ريال. تواصل عبر: 0596682136",spam
"مشروع عمل حر في الدمام: دخل شهري يصل لـ 500,000 ريال. اشتراك عبر: t.me/eal-sltn_3552",spam
💰 🔥 شحنتك رقم 367241269 معلقة لعدم دفع رسوم جمركية بقيمة 29.50 ريال. الدفع: https://ksa-verify.org/main أليوم فقط,spam
"مشروع عمل حر في الطائف: دخل شهري يصل لـ 10,000 ريال. اشتراك عبر: t.me/mshrq86_1077",spam
أخت نورة، تذكير: لديك موعد مع د. محمد يوم 2025-06-12 الساعة 11 صباحاً,ham
السلام عليكم، أخو سعود، لا تنسى دفع فاتورة زين قبل 2025-06-06 لتجنب الإيقاف,ham
مرحباً، أبو أحمد، لا تنسى دفع فاتورة زين قبل 2025-06-10 لتجنب الإيقاف,ham
مرحباً، وزارة العمل: تم استلام طلب إصدار رخصة عمل لـ محمد. سيتم الرد خلال 3 أيام عمل,ham
"⭐ مشروع عمل حر في الدمام: دخل شهري يصل لـ 50,000 ريال. اشتراك عبر: t.me/al-khdyrysr_1421",spam
"خالد، فرصة لسيدات الرياض: عمل عن بعد براتب 5,000 ريال. تواصل عبر: 0571021661",spam
"خالد، 🎁 ‼️ وظيفة شاغرة: محلل مالي براتب 8,000 ريال. إرسال السيرة على الواتساب: 0535456774 فوراً",spam
"مشروع عمل حر في الرياض: دخل شهري يصل لـ 500,000 ريال. اشتراك عبر: t.me/wsfylhjr_7293",spam
شكراً لشرائك من سوق! رقم طلبك: 63645874. سيتم التوصيل خلال 48 ساعة,ham
"لطيفة، عميلنا العزيز: يوجد محاولة سحب بقيمة 10,000 ريال من حسابك. أوقف العملية الآن: https://moi-alert.sa/categories/wp-content/posts",spam
أخت نورة، طلبك من نون سيصلك اليوم بين الساعة 12-5 مساءً,ham
محمد، تنبيه من هيئة الزكاة: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://sa-update.net/search,spam
أبو أحمد، تذكير: لديك موعد مع د. فهد يوم 2025-06-17 الساعة 8 صباحاً,ham
⏰ تنبيه أمني: حسابك في علي بابا معرض للاختراق. التحقق الآن: https://alrajhi-support.info/wp-content/wp-content/app قبل 24 ساعة,spam
"💰 ⏰ فرصة لسيدات الدمام: عمل عن بعد براتب 6,500 ريال. تواصل عبر: 0521123456 فوراً",spam
أهلاً بك، أخت نورة، أهلاً وسهلاً، نود دعوتك لحفل زفاف خالد يوم 2025-06-15 في مكة,ham
لطيفة، ❌ أختكم سارة تبحث عن زواج شرعي. التواصل خاص للجادين فقط.,spam
أهلاً بك، أخو سعود، أهلاً وسهلاً، نود دعوتك لحفل زفاف سعود يوم 2025-06-12 في الطائف,ham
السلام عليكم، تم شحن طلبك رقم 648521022. رقم الشحنة: SA959004523278,ham
شحنتك رقم 4271884553 معلقة لعدم دفع رسوم جمركية بقيمة 49.00 ريال. الدفع: https://stc-offer.sa/list/wp-content/search,spam
شكراً لشرائك من نمشي! رقم طلبك: 44658202. سيتم التوصيل خلال 48 ساعة,ham
⭐ 🔥 عرض حصري لسكان مكة: خصم 70% على الأجهزه الإلكترونية. التسجيل: https://customs-pay.info/search فوراً,spam
⭐ 🔥 عرض خاص: شحن 100 ريال رصيد مقابل 50 ريال فقط! ارسل 'نعم' للرقم 052489477 خلال ساعة,spam
أم فهد، تذكير: لديك موعد مع د. خالد يوم 2025-06-02 الساعة 9 صباحاً,ham
أهلاً بك، تذكير: لديك موعد مع د. خالد يوم 2025-06-13 الساعة 11 صباحاً,ham
⚠️ 🚨 عرض حصري لسكان الطائف: خصم 70% على الملابس. التسجيل: https://stc-offer.com/app فوراً,spam
"🚨 مطلوب 43 شخص للعمل في خدمة العملاء. راتب أساسي 6,000 + حوافز. التقديم: https://moi-alert.xyz/categories/tag/tags خلال ساعة",spam
فهد، تنبيه أمني: حسابك في علي بابا معرض للاختراق. التحقق الآن: https://moi-alert.com/list/main,spam
أخت نورة، أرامكس: شحنتك رقم 344937960983 في طريقها إليك. سائق التوصيل: عبدالله - 211.838.6458,ham
خالد، ❌ 🚨 تنبيه عاجل من الرياض: تم تعليق بطاقتك بسبب نشاط مشبوه. التحديث المطلوب خلال 24 ساعة: https://sa-update.net/tags/tags قبل 24 ساعة,spam
عبدالله، ❗ جمعية خيرية: كفآلة يتيم بـ 500 ريال شهرياً. سجل الآن: https://stc-offer.info/category/explore/search فوراً,spam
"تم إيداع مبلغ 5,000 ريال في حسابك بتاريخ 2025-03-07",ham
عروض اليوم الوطني: QLED TV بسعر 799 ريال فقط! العرض ينتهي اليوم: https://ksa-verify.live/explore/app,spam
🚨 أي شخص حسابه انستقرام مسروق أو محظور، أرجعه له في ١٠ دقايق. شغلي مضمون ومجرب. تواصل خاص. اليوم فقط,spam
السلام عليكم، تذكير: سداد قرضك الشهري بقيمة 1200 ريال مستحق يوم 2025-06-02,ham
"❌ 🚨 مشروع عمل حر في الدمام: دخل شهري يصل لـ 50,000 ريال. اشتراك عبر: t.me/nzm62_8414 قبل منتصف الليل",spam
"❗ عميلنا العزيز: يوجد محاولة سحب بقيمة 25,000 ريال من حسابك. أوقف العملية الآن: https://moi-alert.info/list قبل 24 سآعة",spam
نورة، 💰 🔥 تنبيه عاجل من ساب: تم تعليق بطاقتك بسبب نشاط مشبوه. التحديث المطلوب خلال 24 ساعة: https://stc-offer.sa/search اليوم فقط,spam
خالد، ✅ 🚨 إشعار من الانماء: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/a خلال ساعة,spam
أبو أحمد، لا تنسى دفع فاتورة STC قبل 2025-06-02 لتجنب الإيقاف,ham
مشروع عمل حر في مكة: دخل شهري يصل لـ 500 ريال. اشتراك عبر: t.me/ulrshd_410,spam
مرحباً، أخت نورة، سعود، اتصلت عليك لكنك مشغول. اتصل بي عندما تتاح لك فرصة,ham
🎁 هيئة الزكاة: توجد مبالغ زكاة غير مسددة باسمك. السداد خلال 24 ساعة: https://customs-pay.sa/blog,spam
أهلاً بك، موعد تسليم المشروع النهائي: 2025-06-12,ham
لطيفة، ✨ وزارة الداخلية: مطلوب تحديث بيانات الإقامة قبل 18-06-2025. الرابط: https://moi-alert.sa/main/main,spam
المرور: تم سداد مخالفة المرور رقم 40710400 بنجاح,ham
"⏰ مطلوب 42 شخص للعمل في خدمة العملاء. راتب أساسي 7,500 + حوافز. التقديم: https://ksa-verify.live/main اليوم فقط",spam
عبدالله، 💰 فقدت محفظتي في الطائف وأحتاج 500 ريال لإكمال سفرتي. الله يجزاكم خير: 0545838491,spam
أخت نورة، أرامكس: شحنتك رقم 907809301608 في طريقها إليك. سائق التوصيل: سعود - +1-557-714-4725x76297,ham
"مشروع عمل حر في الرياض: دخل شهري يصل لـ 500,000 ريال. أشتراك عبر: t.me/ymmal-bn-lfy_9703",spam
🚨 فقدت محفظتي في الرياض وأحتاج 500 ريال لإكمال سفرتي. الله يجزاكم خير: 0589394870 قبل 24 ساعة,spam
السلام عليكم، تذكير بدفع قسط السيارة الشهري بقيمة 1500 ريال قبل نهاية الأسبوع,ham
السلام عليكم، تأكيد طلبك رقم 604489050. إجمالي المبلغ 499 ريال شامل الضريبة,ham
تذكير: لديك موعد مع د. سعود يوم 2025-06-03 الساعة 12 صباحاً,ham
عروض نون: خصم 30% على الأثاث حتى نهاية الأسبوع,ham
أهلاً بك، تم شحن طلبك رقم 7124435928. رقم الشحنة: SA593859664448,ham
🚀 🔥 عرض خاص: شحن 100 ريال رصيد مقابل 50 ريال فقط! ارسل 'نعم' للرقم 0596789504 قبل 24 ساعة,spam
أهلاً بك، أم فهد، شكراً لشرائك من نمشي! رقم طلبك: 96711546. سيتم التوصيل خلال 48 ساعة,ham
فهد، 🔥 أختكم نورة تبحث عن زواج شرعي. التواصل خاص للجآدين فقط. فوراً,spam
🚀 إشعار من الراجحي: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/ducimus,spam
السلام عليكم، تأكيد طلبك رقم 224177315. إجمالي المبلغ 299 ريال شامل الضريبة,ham
💯 ⏰ تنبيه أمني: حسابك في سوق معرض للاختراق. التحقق الآن: https://customs-pay.com/posts/category/posts اليوم فقط,spam
السلام عليكم، الراجحي: عملية سحب نقدي من الصراف الآلي بمبلغ 300 ريال. الرصيد المتبقي 15918 ريال,ham
تحية طيبة، تذكير: سداد قرضك الشهري بقيمة 800 ريال مستحق يوم 2025-06-15,ham
🚨 إشعار من ساب: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/qui فوراً,spam
"🔥 مطلوب 30 شخص للعمل في خدمة العملاء. راتب أساسي 6,000 + حوافز. التقديم: https://customs-pay.com/category/tag/search فوراً",spam
نظام ساهر ي通知ك: تم تسجيل مخالفة تجاوز سرعة. لتفاصيل المخالفة وتقديم اعتراض قبل تدبيلها، ادخل على الرابط: https://saher-gov-sa.com/ticket,spam
